slug,name,scientificname,completeness_score,classification,priority,missing_fields
cannabis-sativa,cannabis sativa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
capsicum-annuum,capsicum annuum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
carica-papaya,carica papaya,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
carolina-jessamine,carolina jessamine,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
casimiroa-edulis,casimiroa edulis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
catha-edulis,catha edulis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nepeta-cataria,catnip,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
catuaba,catuaba,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cbd,cbd,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
celastrus-paniculatus,celastrus paniculatus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
celastrus-paniculatus-intellect-tree,celastrus paniculatus (intellect tree),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
centella-asiatica,centella asiatica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cestrum-nocturnum,cestrum nocturnum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
psychotria-viridis,chacruna,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
chaliponga,chaliponga,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
matricaria-chamomilla,chamomile,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
vitex-agnus-castus,chaste tree,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
chiric-sanango,chiric sanango,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cichorium-intybus,cichorium intybus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cissampelos-pareira,cissampelos pareira,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
claviceps-purpurea,claviceps purpurea,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
clavo-huasca,clavo huasca,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
clitoria-ternatea,clitoria ternatea,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lycopodium-clavatum,club moss,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
coca,coca,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
