slug,name,scientificname,completeness_score,classification,priority,missing_fields
sophora-secundiflora,sophora secundiflora,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
vachellia-farnesiana,sweet acacia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sweet-flag,sweet flag,Acorus calamus,4,ready_for_research,medium,preparation; region
viola-odorata,sweet violet,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sweetgrass,sweetgrass,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
peganum-harmala,syrian rue,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tabernaemontana-undulata,tabernaemontana undulata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tabernanthe-iboga,tabernanthe iboga,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tagetes-lucida-mexican-tarragon,tagetes lucida (mexican tarragon),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tamarindus-indica,tamarindus indica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tetradenia-riparia,tetradenia riparia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
thc,thc,Δ9-Tetrahydrocannabinol (from Cannabis sativa/indica),4,ready_for_research,medium,preparation; region
thymus-vulgaris,thymus vulgaris,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tilia-europaea-linden-flower,tilia europaea (linden flower),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tilia-tomentosa,tilia tomentosa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
toloache,toloache,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tonga-root,tonga root,Erythrina variegata,4,ready_for_research,medium,preparation; region
eurycoma-longifolia,tongkat ali,Eurycoma longifolia,4,ready_for_research,medium,preparation; region
acmella-oleracea,toothache plant,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tropaeolum-majus,tropaeolum majus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tulsi,tulsi,Ocimum tenuiflorum,4,ready_for_research,high,preparation; region
curcuma-longa,turmeric,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
turnera-diffusa,turnera diffusa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
turnera-diffusa-aphrodisiaca,turnera diffusa var. aphrodisiaca,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
turnera-ulmifolia,turnera ulmifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
zornia-diphylla,twinleaf zornia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tylophora-indica,tylophora indica,Tylophora indica,6,ready_for_research,high,
tynanthus-panurensis,tynanthus panurensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
uncaria-rhynchophylla,uncaria rhynchophylla,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
uncaria-tomentosa,uncaria tomentosa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
urtica-dioica,urtica dioica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
arctostaphylos-uva-ursi,uva ursi,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
valeriana-officinalis,valerian,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
valerian-root,valerian root,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
valeriana-jatamansi,valeriana jatamansi,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
verbena-officinalis,verbena officinalis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
viola-odorata-sweet-violet,viola odorata (sweet violet),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
virola-spp,virola spp.,Virola spp.,6,ready_for_research,high,
virola-theiodora,virola theiodora,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
voacanga-africana,voacanga africana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
white-lily,white lily,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
white-sage,white sage,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
wild-dagga,wild dagga,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ziziphus-spinosa,wild jujube seed,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lactuca-virosa,wild lettuce,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
withania-somnifera-ashwagandha,withania somnifera (ashwagandha),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
wormwood,wormwood,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
achillea-millefolium,yarrow,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
yellow-horned-poppy,yellow horned poppy,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ilex-paraguariensis,yerba mate,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
yerba-mat,yerba maté,Ilex paraguariensis,5,ready_for_research,high,region
pausinystalia-johimbe,yohimbe,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
yopo,yopo,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
zanthoxylum-clava-herculis,zanthoxylum clava-herculis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
,,,1,weak,low,name; scientificname; effects / therapeuticUses; preparation; region
