type,id,name,slug,reason,action
compound,compound:taurine-sleep,Taurine (Sleep Context),taurine-sleep,DUPLICATE-OF-compound:taurine,MERGE-KEEP-compound:taurine
compound,compound:tongkat-ali,Tongkat Ali,tongkat-ali,duplicate-group:tongkat ali,KEEP-CANONICAL-REVIEW
compound,compound:turkey-tail,Turkey Tail (Trametes versicolor),turkey-tail,DUPLICATE-OF-herb:turkey-tail,MERGE-KEEP-herb:turkey-tail
compound,compound:turmeric,Turmeric,turmeric,duplicate-group:turmeric,KEEP-CANONICAL-REVIEW
compound,compound:valerian,Valerian,valerian,duplicate-group:valerian,KEEP-CANONICAL-REVIEW
compound,compound:yerba-mate,Yerba Mate,yerba-mate,DUPLICATE-OF-herb:yerba-mate,MERGE-KEEP-herb:yerba-mate
compound,compound:yohimbe,Yohimbe (Pausinystalia johimbe),yohimbe,DUPLICATE-OF-herb:yohimbe,MERGE-KEEP-herb:yohimbe
herb,herb:aloe-vera,Aloe Vera,aloe-vera,DUPLICATE-OF-compound:aloe-vera,MERGE-KEEP-compound:aloe-vera
herb,herb:ashitaba,Ashitaba,ashitaba,DUPLICATE-OF-compound:ashitaba,MERGE-KEEP-compound:ashitaba
herb,herb:blue-lotus,Blue Lotus,blue-lotus,duplicate-group:blue lotus,KEEP-CANONICAL-REVIEW
herb,herb:boswellia-serrata,Boswellia,boswellia-serrata,duplicate-group:boswellia,KEEP-CANONICAL-REVIEW
herb,herb:theobroma-cacao,Cacao,theobroma-cacao,duplicate-group:cacao,KEEP-CANONICAL-REVIEW
herb,herb:cat-s-claw,Cat's Claw,cat-s-claw,DUPLICATE-OF-compound:cat-s-claw,MERGE-KEEP-compound:cat-s-claw
herb,herb:chaga,Chaga,chaga,duplicate-group:chaga,KEEP-CANONICAL-REVIEW
herb,herb:matricaria-chamomilla,Chamomile,matricaria-chamomilla,DUPLICATE-OF-compound:chamomile,MERGE-KEEP-compound:chamomile
herb,herb:cordyceps-sinensis,Cordyceps,cordyceps-sinensis,DUPLICATE-OF-compound:cordyceps,MERGE-KEEP-compound:cordyceps
herb,herb:cranberry,Cranberry (Vaccinium macrocarpon),cranberry,DUPLICATE-OF-compound:cranberry,MERGE-KEEP-compound:cranberry
herb,herb:curcumin,Curcumin,curcumin,DUPLICATE-OF-compound:curcumin,MERGE-KEEP-compound:curcumin
herb,herb:damiana,Damiana,damiana,duplicate-group:damiana,KEEP-CANONICAL-REVIEW
